time;copter_roll_angle;kd;ki;kp;REF_ROLL_ANGLE;
0;-31,125;12;0,000009999999747378752;2,5;0;
0,005;-31,125;12;0,000009999999747378752;2,5;0;
0,009;-31,125;12;0,000009999999747378752;2,5;0;
0,013;-31,125;12;0,000009999999747378752;2,5;0;
0,017;-31,125;12;0,000009999999747378752;2,5;0;
0,021;-31,125;12;0,000009999999747378752;2,5;0;
0,025;-31,125;12;0,000009999999747378752;2,5;0;
0,028;-31,125;12;0,000009999999747378752;2,5;0;
0,032;-31,125;12;0,000009999999747378752;2,5;0;
0,036;-31,125;12;0,000009999999747378752;2,5;0;
0,039;-31,125;12;0,000009999999747378752;2,5;0;
0,042;-31,125;12;0,000009999999747378752;2,5;0;
0,045;-31,125;12;0,000009999999747378752;2,5;0;
0,049;-31,125;12;0,000009999999747378752;2,5;0;
0,053;-31,125;12;0,000009999999747378752;2,5;0;
0,056;-31,125;12;0,000009999999747378752;2,5;0;
0,06;-31,125;12;0,000009999999747378752;2,5;0;
0,064;-31,125;12;0,000009999999747378752;2,5;0;
0,068;-31,125;12;0,000009999999747378752;2,5;0;
0,071;-31,125;12;0,000009999999747378752;2,5;0;
0,075;-31,125;12;0,000009999999747378752;2,5;0;
0,078;-31,125;12;0,000009999999747378752;2,5;0;
0,082;-31,125;12;0,000009999999747378752;2,5;0;
0,086;-31,125;12;0,000009999999747378752;2,5;0;
0,088;-31,125;12;0,000009999999747378752;2,5;0;
0,091;-31,125;12;0,000009999999747378752;2,5;0;
0,094;-31,125;12;0,000009999999747378752;2,5;0;
0,098;-31,125;12;0,000009999999747378752;2,5;0;
0,102;-31,125;12;0,000009999999747378752;2,5;0;
0,105;-31,125;12;0,000009999999747378752;2,5;0;
0,108;-31,125;12;0,000009999999747378752;2,5;0;
0,111;-31,125;12;0,000009999999747378752;2,5;0;
0,114;-31,125;12;0,000009999999747378752;2,5;0;
0,118;-31,125;12;0,000009999999747378752;2,5;0;
0,121;-31,125;12;0,000009999999747378752;2,5;0;
0,125;-31,125;12;0,000009999999747378752;2,5;0;
0,128;-31,125;12;0,000009999999747378752;2,5;0;
0,131;-31,125;12;0,000009999999747378752;2,5;0;
0,134;-31,125;12;0,000009999999747378752;2,5;0;
0,137;-31,125;12;0,000009999999747378752;2,5;0;
0,14;-31,125;12;0,000009999999747378752;2,5;0;
0,143;-31,125;12;0,000009999999747378752;2,5;0;
0,147;-31,125;12;0,000009999999747378752;2,5;0;
0,151;-31,125;12;0,000009999999747378752;2,5;0;
0,154;-31,125;12;0,000009999999747378752;2,5;0;
0,158;-31,125;12;0,000009999999747378752;2,5;0;
0,161;-31,125;12;0,000009999999747378752;2,5;0;
0,165;-31,125;12;0,000009999999747378752;2,5;0;
0,17;-31,125;12;0,000009999999747378752;2,5;0;
0,174;-31,125;12;0,000009999999747378752;2,5;0;
0,178;-31,125;12;0,000009999999747378752;2,5;0;
0,181;-31,125;12;0,000009999999747378752;2,5;0;
0,185;-31,125;12;0,000009999999747378752;2,5;0;
0,188;-31,125;12;0,000009999999747378752;2,5;0;
0,191;-31,125;12;0,000009999999747378752;2,5;0;
0,195;-31,125;12;0,000009999999747378752;2,5;0;
0,198;-31,125;12;0,000009999999747378752;2,5;0;
0,202;-31,125;12;0,000009999999747378752;2,5;0;
0,205;-31,125;12;0,000009999999747378752;2,5;0;
0,208;-31,125;12;0,000009999999747378752;2,5;0;
0,211;-31,125;12;0,000009999999747378752;2,5;0;
0,215;-31,125;12;0,000009999999747378752;2,5;0;
0,218;-31,125;12;0,000009999999747378752;2,5;0;
0,221;-31,125;12;0,000009999999747378752;2,5;0;
0,225;-31,125;12;0,000009999999747378752;2,5;0;
0,229;-31,125;12;0,000009999999747378752;2,5;0;
0,232;-31,125;12;0,000009999999747378752;2,5;0;
0,236;-31,125;12;0,000009999999747378752;2,5;0;
0,239;-31,125;12;0,000009999999747378752;2,5;0;
0,242;-31,125;12;0,000009999999747378752;2,5;0;
0,245;-31,125;12;0,000009999999747378752;2,5;0;
0,249;-31,125;12;0,000009999999747378752;2,5;0;
0,253;-31,125;12;0,000009999999747378752;2,5;0;
0,256;-31,125;12;0,000009999999747378752;2,5;0;
0,259;-31,125;12;0,000009999999747378752;2,5;0;
0,263;-31,125;12;0,000009999999747378752;2,5;0;
0,266;-31,125;12;0,000009999999747378752;2,5;0;
0,27;-31,125;12;0,000009999999747378752;2,5;0;
0,273;-31,125;12;0,000009999999747378752;2,5;0;
0,277;-31,125;12;0,000009999999747378752;2,5;0;
0,28;-31,125;12;0,000009999999747378752;2,5;0;
0,284;-31,125;12;0,000009999999747378752;2,5;0;
0,287;-31,125;12;0,000009999999747378752;2,5;0;
0,29;-31,125;12;0,000009999999747378752;2,5;0;
0,293;-31,125;12;0,000009999999747378752;2,5;0;
0,296;-31,125;12;0,000009999999747378752;2,5;0;
0,299;-31,125;12;0,000009999999747378752;2,5;0;
0,303;-31,125;12;0,000009999999747378752;2,5;0;
0,306;-31,125;12;0,000009999999747378752;2,5;0;
0,309;-31,125;12;0,000009999999747378752;2,5;0;
0,311;-31,125;12;0,000009999999747378752;2,5;0;
0,315;-31,125;12;0,000009999999747378752;2,5;0;
0,319;-31,125;12;0,000009999999747378752;2,5;0;
0,322;-31,125;12;0,000009999999747378752;2,5;0;
0,325;-31,125;12;0,000009999999747378752;2,5;0;
0,328;-31,125;12;0,000009999999747378752;2,5;0;
0,332;-31,125;12;0,000009999999747378752;2,5;0;
0,335;-31,125;12;0,000009999999747378752;2,5;0;
0,338;-31,125;12;0,000009999999747378752;2,5;0;
0,34;-31,125;12;0,000009999999747378752;2,5;0;
0,343;-31,125;12;0,000009999999747378752;2,5;0;
0,346;-31,125;12;0,000009999999747378752;2,5;0;
0,35;-31,125;12;0,000009999999747378752;2,5;0;
0,353;-31,125;12;0,000009999999747378752;2,5;0;
0,356;-31,125;12;0,000009999999747378752;2,5;0;
0,358;-31,125;12;0,000009999999747378752;2,5;0;
0,361;-31,125;12;0,000009999999747378752;2,5;0;
0,364;-31,125;12;0,000009999999747378752;2,5;0;
0,368;-31,125;12;0,000009999999747378752;2,5;0;
0,371;-31,125;12;0,000009999999747378752;2,5;0;
0,374;-31,125;12;0,000009999999747378752;2,5;0;
0,377;-31,125;12;0,000009999999747378752;2,5;0;
0,38;-31,125;12;0,000009999999747378752;2,5;0;
0,384;-31,125;12;0,000009999999747378752;2,5;0;
0,386;-31,125;12;0,000009999999747378752;2,5;0;
0,389;-31,125;12;0,000009999999747378752;2,5;0;
0,391;-31,125;12;0,000009999999747378752;2,5;0;
0,394;-31,125;12;0,000009999999747378752;2,5;0;
0,397;-31,125;12;0,000009999999747378752;2,5;0;
0,401;-31,125;12;0,000009999999747378752;2,5;0;
0,404;-31,125;12;0,000009999999747378752;2,5;0;
0,407;-31,125;12;0,000009999999747378752;2,5;0;
0,409;-31,125;12;0,000009999999747378752;2,5;0;
0,412;-31,125;12;0,000009999999747378752;2,5;0;
0,415;-31,125;12;0,000009999999747378752;2,5;0;
0,418;-31,125;12;0,000009999999747378752;2,5;0;
0,421;-31,125;12;0,000009999999747378752;2,5;0;
0,424;-31,125;12;0,000009999999747378752;2,5;0;
0,427;-31,125;12;0,000009999999747378752;2,5;0;
0,43;-31,125;12;0,000009999999747378752;2,5;0;
0,434;-31,125;12;0,000009999999747378752;2,5;0;
0,437;-31,125;12;0,000009999999747378752;2,5;0;
0,44;-31,125;12;0,000009999999747378752;2,5;0;
0,442;-31,125;12;0,000009999999747378752;2,5;0;
0,445;-31,125;12;0,000009999999747378752;2,5;0;
0,449;-31,125;12;0,000009999999747378752;2,5;0;
0,452;-31,125;12;0,000009999999747378752;2,5;0;
0,455;-31,125;12;0,000009999999747378752;2,5;0;
0,458;-31,125;12;0,000009999999747378752;2,5;0;
0,461;-31,125;12;0,000009999999747378752;2,5;0;
0,464;-31,125;12;0,000009999999747378752;2,5;0;
0,467;-31,125;12;0,000009999999747378752;2,5;0;
0,47;-31,125;12;0,000009999999747378752;2,5;0;
0,473;-31,125;12;0,000009999999747378752;2,5;0;
0,477;-31,125;12;0,000009999999747378752;2,5;0;
0,481;-31,125;12;0,000009999999747378752;2,5;0;
0,484;-31,125;12;0,000009999999747378752;2,5;0;
0,487;-31,125;12;0,000009999999747378752;2,5;0;
0,49;-31,125;12;0,000009999999747378752;2,5;0;
0,492;-31,125;12;0,000009999999747378752;2,5;0;
0,495;-31,125;12;0,000009999999747378752;2,5;0;
0,498;-31,125;12;0,000009999999747378752;2,5;0;
0,501;-31,125;12;0,000009999999747378752;2,5;0;
0,504;-31,125;12;0,000009999999747378752;2,5;0;
0,506;-31,125;12;0,000009999999747378752;2,5;0;
0,509;-31,125;12;0,000009999999747378752;2,5;0;
0,512;-31,125;12;0,000009999999747378752;2,5;0;
0,515;-31,125;12;0,000009999999747378752;2,5;0;
0,518;-31,125;12;0,000009999999747378752;2,5;0;
0,521;-31,125;12;0,000009999999747378752;2,5;0;
0,524;-31,125;12;0,000009999999747378752;2,5;0;
0,527;-31,125;12;0,000009999999747378752;2,5;0;
0,531;-31,125;12;0,000009999999747378752;2,5;0;
0,534;-31,125;12;0,000009999999747378752;2,5;0;
0,537;-31,125;12;0,000009999999747378752;2,5;0;
0,54;-31,125;12;0,000009999999747378752;2,5;0;
0,542;-31,125;12;0,000009999999747378752;2,5;0;
0,544;-31,125;12;0,000009999999747378752;2,5;0;
