time;copter_pitch_angle;copter_roll_angle;copter_yaw_angle;copter_z_distance;REF_PITCH_ANGLE;REF_ROLL_ANGLE;REF_YAW_ANGLE;REF_Z_DISTANCE;SS;
0;17,625;23,8125;121,375;3,121299982070923;0;0;100;10;0;
0,007;17,625;23,8125;121,375;3,5500500202178955;0;0;100;10;0;
0,012;17,625;23,8125;121,375;3,5500500202178955;0;0;100;10;0;
0,016;17,625;23,8125;121,375;3,5500500202178955;0;0;100;10;0;
0,02;17,625;23,8125;121,375;3,5500500202178955;0;0;100;10;0;
0,025;17,625;23,8125;121,375;3,5500500202178955;0;0;100;10;0;
0,029;17,625;23,8125;121,375;3,5500500202178955;0;0;100;10;0;
0,032;17,625;23,8125;121,375;3,5500500202178955;0;0;100;10;0;
0,036;17,625;23,8125;121,375;3,5500500202178955;0;0;100;10;0;
0,041;17,625;23,8125;121,375;3,5500500202178955;0;0;100;10;0;
0,045;17,625;23,8125;121,375;3,5500500202178955;0;0;100;10;0;
0,048;17,625;23,8125;121,375;3,5500500202178955;0;0;100;10;0;
0,052;17,625;23,8125;121,375;3,5500500202178955;0;0;100;10;0;
0,056;17,625;23,8125;121,375;3,5500500202178955;0;0;100;10;0;
0,061;17,625;23,8125;121,375;3,5500500202178955;0;0;100;10;0;
0,065;17,625;23,8125;121,375;3,121299982070923;0;0;100;10;0;
0,069;17,625;23,8125;121,375;3,121299982070923;0;0;100;10;0;
0,074;17,625;23,8125;121,375;3,121299982070923;0;0;100;10;0;
0,078;17,625;23,8125;121,375;3,121299982070923;0;0;100;10;0;
0,082;17,625;23,8125;121,375;3,121299982070923;0;0;100;10;0;
0,085;17,625;23,8125;121,375;3,121299982070923;0;0;100;10;0;
0,089;17,625;23,8125;121,375;3,121299982070923;0;0;100;10;0;
0,093;17,625;23,8125;121,375;3,121299982070923;0;0;100;10;0;
0,096;17,625;23,8125;121,375;3,121299982070923;0;0;100;10;0;
0,099;17,625;23,8125;121,375;3,121299982070923;0;0;100;10;0;
0,103;17,625;23,8125;121,375;3,121299982070923;0;0;100;10;0;
0,107;17,625;23,8125;121,375;3,121299982070923;0;0;100;10;0;
0,11;17,625;23,8125;121,375;3,121299982070923;0;0;100;10;0;
0,114;17,625;23,8125;121,375;3,121299982070923;0;0;100;10;0;
0,118;17,625;23,8125;121,375;3,121299982070923;0;0;100;10;0;
0,122;17,625;23,8125;121,375;3,121299982070923;0;0;100;10;0;
0,126;17,625;23,8125;121,375;3,532899856567383;0;0;100;10;0;
0,129;17,625;23,8125;121,375;3,532899856567383;0;0;100;10;0;
0,133;17,625;23,8125;121,375;3,532899856567383;0;0;100;10;0;
0,137;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,141;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,145;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,149;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,153;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,157;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,161;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,164;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,168;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,171;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,175;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,178;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,181;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,184;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,19;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,193;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,197;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,2;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,204;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,208;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,212;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,215;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,219;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,224;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,228;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,231;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,235;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,239;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,243;17,625;23,875;121,375;3,532899856567383;0;0;100;10;0;
0,246;17,625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,25;17,625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,253;17,625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,257;17,625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,261;17,625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,265;17,625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,268;17,625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,272;17,625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,276;17,625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,279;17,625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,282;17,625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,285;17,625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,288;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,292;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,295;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,299;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,302;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,305;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,309;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,312;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,315;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,318;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,322;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,326;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,329;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,333;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,337;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,341;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,345;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,349;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,353;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,356;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,36;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,363;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,367;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,37;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,374;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,378;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,382;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,385;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,388;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,391;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,394;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,397;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,401;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,404;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,408;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,411;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,414;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,418;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,42;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,424;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,427;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,431;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,434;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,438;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,442;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,446;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,45;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,452;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,456;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,46;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
0,463;17,5625;23,875;121,375;3,121299982070923;0;0;100;10;0;
