time;copter_pitch_angle;copter_roll_angle;copter_yaw_angle;copter_z_distance;REF_PITCH_ANGLE;REF_ROLL_ANGLE;REF_YAW_ANGLE;REF_Z_DISTANCE;SS;
13,593;-29,3125;5,5625;41,25;3,121299982070923;0;0;100;10;1;
13,597;-29,3125;5,5625;41,25;3,121299982070923;0;0;100;10;1;
13,6;-29,3125;5,5625;41,25;3,121299982070923;0;0;100;10;1;
13,604;-29,375;5,5625;41,25;3,121299982070923;0;0;100;10;1;
13,607;-29,375;5,5625;41,25;3,121299982070923;0;0;100;10;1;
13,61;-29,375;5,5625;41,25;3,121299982070923;0;0;100;10;1;
13,613;-29,3125;5,5625;41,25;3,121299982070923;0;0;100;10;1;
13,616;-29,3125;5,5625;41,25;3,121299982070923;0;0;100;10;1;
13,62;-29,3125;5,5625;41,25;3,121299982070923;0;0;100;10;1;
13,623;-29,375;5,5625;41,25;3,121299982070923;0;0;100;10;1;
13,626;-29,375;5,5625;41,25;3,121299982070923;0;0;100;10;1;
13,629;-29,375;5,5625;41,25;3,121299982070923;0;0;100;10;1;
13,632;-29,375;5,5625;41,3125;3,121299982070923;0;0;100;10;1;
13,635;-29,375;5,5625;41,3125;3,121299982070923;0;0;100;10;1;
13,639;-29,375;5,5625;41,3125;3,121299982070923;0;0;100;10;1;
13,642;-29,375;5,5625;41,3125;3,121299982070923;0;0;100;10;1;
13,646;-29,375;5,5625;41,3125;3,121299982070923;0;0;100;10;1;
13,649;-29,375;5,5625;41,3125;3,121299982070923;0;0;100;10;1;
13,652;-29,375;5,5625;41,3125;3,121299982070923;0;0;100;10;1;
13,656;-29,375;5,5625;41,3125;3,121299982070923;0;0;100;10;1;
13,66;-29,375;5,5625;41,3125;3,121299982070923;0;0;100;10;1;
13,663;-29,375;5,5625;41,3125;3,121299982070923;0;0;100;10;1;
13,666;-29,375;5,5625;41,3125;3,121299982070923;0;0;100;10;1;
13,67;-29,375;5,5625;41,375;3,121299982070923;0;0;100;10;1;
13,674;-29,375;5,5625;41,375;3,121299982070923;0;0;100;10;1;
13,677;-29,375;5,5625;41,375;3,121299982070923;0;0;100;10;1;
13,681;-29,375;5,5625;41,375;3,121299982070923;0;0;100;10;1;
13,684;-29,375;5,5625;41,375;3,121299982070923;0;0;100;10;1;
13,687;-29,375;5,5625;41,375;3,121299982070923;0;0;100;10;1;
13,691;-29,375;5,5625;41,375;3,121299982070923;0;0;100;10;1;
13,695;-29,375;5,5;41,375;3,121299982070923;0;0;100;10;1;
13,698;-29,375;5,5;41,375;3,121299982070923;0;0;100;10;1;
13,702;-29,375;5,5;41,4375;3,121299982070923;0;0;100;10;1;
13,706;-29,375;5,5;41,4375;3,121299982070923;0;0;100;10;1;
13,709;-29,375;5,5;41,4375;3,121299982070923;0;0;100;10;1;
13,712;-29,375;5,5;41,4375;3,121299982070923;0;0;100;10;1;
13,715;-29,375;5,5;41,4375;3,121299982070923;0;0;100;10;1;
13,719;-29,375;5,5;41,4375;3,121299982070923;0;0;100;10;1;
13,722;-29,375;5,5;41,4375;3,121299982070923;0;0;100;10;1;
13,725;-29,375;5,5;41,4375;3,121299982070923;0;0;100;10;1;
13,729;-29,375;5,5;41,4375;3,121299982070923;0;0;100;10;1;
13,732;-29,375;5,4375;41,5;3,121299982070923;0;0;100;10;1;
13,735;-29,375;5,4375;41,5;3,121299982070923;0;0;100;10;1;
13,738;-29,375;5,4375;41,5;3,121299982070923;0;0;100;10;1;
13,74;-29,375;5,4375;41,5;3,121299982070923;0;0;100;10;1;
13,743;-29,375;5,4375;41,5;3,121299982070923;0;0;100;10;1;
13,745;-29,375;5,4375;41,5;3,121299982070923;0;0;100;10;1;
13,749;-29,375;5,4375;41,5;3,121299982070923;0;0;100;10;1;
13,752;-29,375;5,4375;41,5625;3,121299982070923;0;0;100;10;1;
13,756;-29,375;5,4375;41,5625;3,121299982070923;0;0;100;10;1;
13,759;-29,375;5,4375;41,5625;3,121299982070923;0;0;100;10;1;
13,763;-29,375;5,4375;41,5625;3,1041500568389893;0;0;100;10;1;
13,766;-29,375;5,4375;41,5625;3,1041500568389893;0;0;100;10;1;
13,771;-29,375;5,4375;41,5625;3,1041500568389893;0;0;100;10;1;
13,775;-29,375;5,4375;41,5625;3,1041500568389893;0;0;100;10;1;
13,778;-29,375;5,4375;41,5625;3,1041500568389893;0;0;100;10;1;
13,782;-29,375;5,4375;41,5625;3,1041500568389893;0;0;100;10;1;
13,785;-29,375;5,4375;41,5625;3,1041500568389893;0;0;100;10;1;
13,789;-29,375;5,4375;41,5625;3,1041500568389893;0;0;100;10;1;
13,792;-29,375;5,4375;41,625;3,1041500568389893;0;0;100;10;1;
13,795;-29,375;5,4375;41,625;3,1041500568389893;0;0;100;10;1;
13,799;-29,375;5,4375;41,625;3,1041500568389893;0;0;100;10;1;
13,803;-29,375;5,4375;41,625;3,1041500568389893;0;0;100;10;1;
13,806;-29,375;5,4375;41,625;3,1041500568389893;0;0;100;10;1;
13,81;-29,375;5,4375;41,625;3,1041500568389893;0;0;100;10;1;
13,813;-29,375;5,4375;41,625;3,1041500568389893;0;0;100;10;1;
13,817;-29,375;5,4375;41,625;3,1041500568389893;0;0;100;10;1;
13,82;-29,375;5,5;41,625;3,121299982070923;0;0;100;10;1;
13,823;-29,375;5,5;41,625;3,121299982070923;0;0;100;10;1;
13,826;-29,375;5,5;41,625;3,121299982070923;0;0;100;10;1;
13,828;-29,375;5,5;41,625;3,121299982070923;0;0;100;10;1;
13,831;-29,375;5,5;41,625;3,121299982070923;0;0;100;10;1;
13,833;-29,375;5,5;41,625;3,121299982070923;0;0;100;10;1;
13,837;-29,375;5,5;41,625;3,121299982070923;0;0;100;10;1;
13,84;-29,375;5,5;41,625;3,121299982070923;0;0;100;10;1;
13,843;-29,375;5,5;41,625;3,121299982070923;0;0;100;10;1;
13,846;-29,375;5,5;41,625;3,121299982070923;0;0;100;10;1;
13,848;-29,375;5,5;41,625;3,121299982070923;0;0;100;10;1;
13,851;-29,375;5,5;41,6875;3,121299982070923;0;0;100;10;1;
13,854;-29,375;5,5;41,6875;3,121299982070923;0;0;100;10;1;
13,857;-29,375;5,5;41,6875;3,121299982070923;0;0;100;10;1;
13,861;-29,375;5,5625;41,6875;3,121299982070923;0;0;100;10;1;
13,863;-29,375;5,5625;41,6875;3,121299982070923;0;0;100;10;1;
13,866;-29,375;5,5625;41,6875;3,121299982070923;0;0;100;10;1;
13,87;-29,375;5,5625;41,6875;3,121299982070923;0;0;100;10;1;
13,873;-29,375;5,5625;41,6875;3,121299982070923;0;0;100;10;1;
13,877;-29,375;5,5625;41,6875;3,121299982070923;0;0;100;10;1;
13,88;-29,375;5,5625;41,6875;3,121299982070923;0;0;100;10;1;
13,883;-29,375;5,5625;41,75;3,121299982070923;0;0;100;10;1;
13,886;-29,375;5,5625;41,75;3,121299982070923;0;0;100;10;1;
13,89;-29,375;5,5625;41,75;3,121299982070923;0;0;100;10;1;
13,893;-29,375;5,625;41,75;3,121299982070923;0;0;100;10;1;
13,896;-29,375;5,625;41,75;3,121299982070923;0;0;100;10;1;
13,899;-29,375;5,625;41,75;3,121299982070923;0;0;100;10;1;
13,903;-29,375;5,625;41,75;3,121299982070923;0;0;100;10;1;
13,906;-29,375;5,625;41,75;3,121299982070923;0;0;100;10;1;
13,909;-29,375;5,625;41,75;3,121299982070923;0;0;100;10;1;
13,912;-29,375;5,6875;41,8125;3,121299982070923;0;0;100;10;1;
13,916;-29,375;5,6875;41,8125;3,121299982070923;0;0;100;10;1;
13,919;-29,375;5,6875;41,8125;3,121299982070923;0;0;100;10;1;
13,923;-29,375;5,6875;41,8125;3,121299982070923;0;0;100;10;1;
13,926;-29,375;5,6875;41,8125;3,121299982070923;0;0;100;10;1;
13,929;-29,375;5,6875;41,8125;3,121299982070923;0;0;100;10;1;
13,932;-29,375;5,6875;41,875;3,121299982070923;0;0;100;10;1;
13,935;-29,375;5,6875;41,875;3,121299982070923;0;0;100;10;1;
13,939;-29,375;5,6875;41,875;3,121299982070923;0;0;100;10;1;
13,941;-29,375;5,6875;41,875;3,1041500568389893;0;0;100;10;1;
13,944;-29,375;5,6875;41,875;3,1041500568389893;0;0;100;10;1;
13,947;-29,375;5,6875;41,875;3,1041500568389893;0;0;100;10;1;
13,95;-29,375;5,6875;41,875;3,1041500568389893;0;0;100;10;1;
13,954;-29,375;5,6875;41,875;3,1041500568389893;0;0;100;10;1;
13,957;-29,375;5,6875;41,875;3,1041500568389893;0;0;100;10;1;
13,959;-29,375;5,6875;41,875;3,1041500568389893;0;0;100;10;1;
13,963;-29,375;5,75;41,9375;3,1041500568389893;0;0;100;10;1;
13,966;-29,375;5,75;41,9375;3,1041500568389893;0;0;100;10;1;
13,97;-29,375;5,75;41,9375;3,1041500568389893;0;0;100;10;1;
13,973;-29,3125;5,75;41,9375;3,1041500568389893;0;0;100;10;1;
13,976;-29,3125;5,75;41,9375;3,1041500568389893;0;0;100;10;1;
13,979;-29,3125;5,75;41,9375;3,1041500568389893;0;0;100;10;1;
