time;copter_pitch_angle;copter_roll_angle;copter_yaw_angle;copter_z_distance;SS;
0;28,9375;3,6875;7,5;3,532899856567383;0;
0,005;28,9375;3,6875;7,5;3,532899856567383;0;
0,007;28,9375;3,6875;7,5;3,532899856567383;0;
0,01;28,9375;3,6875;7,5;3,532899856567383;0;
0,012;28,9375;3,6875;7,5;3,532899856567383;0;
0,014;28,9375;3,6875;7,5;3,532899856567383;0;
0,017;28,9375;3,6875;7,5;3,532899856567383;0;
0,019;28,9375;3,6875;7,5;3,532899856567383;0;
0,022;28,9375;3,6875;7,5;3,532899856567383;0;
0,024;28,9375;3,6875;7,5;3,532899856567383;0;
0,027;28,9375;3,6875;7,5;3,532899856567383;0;
0,029;28,9375;3,6875;7,5;3,532899856567383;0;
0,031;28,9375;3,6875;7,5;3,532899856567383;0;
0,033;28,9375;3,6875;7,5;3,532899856567383;0;
0,035;28,9375;3,6875;7,5;3,532899856567383;0;
0,037;28,9375;3,6875;7,5;3,532899856567383;0;
0,039;28,9375;3,6875;7,5;3,532899856567383;0;
0,041;28,9375;3,6875;7,5;3,532899856567383;0;
0,043;28,9375;3,6875;7,5;3,532899856567383;0;
0,046;28,9375;3,6875;7,5;3,532899856567383;0;
0,048;28,9375;3,6875;7,5;3,532899856567383;0;
0,05;28,9375;3,6875;7,5;3,532899856567383;0;
0,052;28,9375;3,6875;7,5;3,532899856567383;0;
0,054;28,9375;3,6875;7,5;3,532899856567383;0;
0,056;28,9375;3,6875;7,5;3,532899856567383;0;
0,059;28,9375;3,6875;7,5;3,532899856567383;0;
0,061;28,9375;3,6875;7,5;3,532899856567383;0;
0,063;28,9375;3,6875;7,5;3,532899856567383;0;
0,065;28,9375;3,6875;7,5;3,532899856567383;0;
0,067;28,9375;3,6875;7,5;3,532899856567383;0;
0,069;28,9375;3,6875;7,5;3,532899856567383;0;
0,072;28,9375;3,6875;7,5;3,532899856567383;0;
0,074;28,9375;3,6875;7,5;3,532899856567383;0;
0,076;28,9375;3,6875;7,5;3,532899856567383;0;
0,078;28,9375;3,6875;7,5;3,532899856567383;0;
0,08;28,9375;3,6875;7,5;3,532899856567383;0;
0,083;28,9375;3,6875;7,5;3,532899856567383;0;
0,085;28,9375;3,6875;7,5;3,532899856567383;0;
0,087;28,9375;3,6875;7,5;3,532899856567383;0;
0,089;28,9375;3,6875;7,5;3,532899856567383;0;
0,091;28,9375;3,6875;7,5;3,532899856567383;0;
0,093;28,9375;3,6875;7,5;3,532899856567383;0;
0,096;28,9375;3,6875;7,5;3,532899856567383;0;
0,098;28,9375;3,6875;7,5;3,532899856567383;0;
0,1;28,9375;3,6875;7,5;3,532899856567383;0;
0,102;28,9375;3,6875;7,5;3,532899856567383;0;
0,104;28,9375;3,6875;7,5;3,532899856567383;0;
0,106;28,9375;3,6875;7,5;3,532899856567383;0;
0,108;28,9375;3,6875;7,5;3,532899856567383;0;
0,11;28,9375;3,6875;7,5;3,532899856567383;0;
0,112;28,9375;3,6875;7,5;3,532899856567383;0;
0,114;28,9375;3,6875;7,5;3,532899856567383;0;
0,116;28,9375;3,6875;7,5;3,532899856567383;0;
0,118;28,9375;3,6875;7,5;3,532899856567383;0;
0,12;28,9375;3,6875;7,5;3,532899856567383;0;
0,122;28,9375;3,6875;7,5;3,532899856567383;0;
0,125;28,9375;3,6875;7,5;3,532899856567383;0;
0,127;28,9375;3,6875;7,5;3,532899856567383;0;
0,129;28,9375;3,6875;7,5;3,9959499835968018;0;
0,131;28,9375;3,6875;7,5;3,9959499835968018;0;
0,133;28,9375;3,6875;7,5;3,9959499835968018;0;
0,135;28,9375;3,6875;7,5;3,9959499835968018;0;
0,137;28,9375;3,6875;7,5;3,9959499835968018;0;
0,139;28,9375;3,6875;7,5;3,9959499835968018;0;
0,141;28,9375;3,6875;7,5;3,9959499835968018;0;
0,143;28,9375;3,6875;7,5;3,9959499835968018;0;
0,146;28,9375;3,6875;7,5;3,9959499835968018;0;
0,148;28,9375;3,6875;7,5;3,9959499835968018;0;
0,15;28,9375;3,6875;7,5;3,9959499835968018;0;
0,152;28,9375;3,6875;7,5;3,9959499835968018;0;
0,154;28,9375;3,6875;7,5;3,9959499835968018;0;
0,156;28,9375;3,6875;7,5;3,9959499835968018;0;
0,158;28,9375;3,6875;7,5;3,9959499835968018;0;
0,16;28,9375;3,6875;7,5;3,9959499835968018;0;
0,162;28,9375;3,6875;7,5;3,9959499835968018;0;
0,164;28,9375;3,6875;7,5;3,9959499835968018;0;
0,166;28,9375;3,6875;7,5;3,9959499835968018;0;
0,168;28,9375;3,6875;7,5;3,9959499835968018;0;
0,17;28,9375;3,6875;7,5;3,9959499835968018;0;
0,173;28,9375;3,6875;7,5;3,9959499835968018;0;
0,175;28,9375;3,6875;7,5;3,9959499835968018;0;
0,179;28,9375;3,6875;7,5;3,9959499835968018;0;
0,181;28,9375;3,6875;7,5;3,9959499835968018;0;
0,183;28,9375;3,6875;7,5;3,9959499835968018;0;
0,185;28,9375;3,6875;7,5;3,9959499835968018;0;
0,187;28,9375;3,6875;7,5;3,9959499835968018;0;
0,189;28,9375;3,6875;7,5;3,532899856567383;0;
0,191;28,9375;3,6875;7,5;3,532899856567383;0;
0,193;28,9375;3,6875;7,5;3,532899856567383;0;
0,195;28,9375;3,6875;7,5;3,532899856567383;0;
0,197;28,9375;3,6875;7,5;3,532899856567383;0;
0,199;28,9375;3,6875;7,5;3,532899856567383;0;
0,201;28,9375;3,6875;7,5;3,532899856567383;0;
0,203;28,9375;3,6875;7,5;3,532899856567383;0;
0,205;28,9375;3,6875;7,5;3,532899856567383;0;
0,207;28,9375;3,6875;7,5;3,532899856567383;0;
0,209;28,9375;3,6875;7,5;3,532899856567383;0;
0,212;28,9375;3,6875;7,5;3,532899856567383;0;
0,214;28,9375;3,6875;7,5;3,532899856567383;0;
0,216;28,9375;3,6875;7,5;3,532899856567383;0;
0,218;28,9375;3,6875;7,5;3,532899856567383;0;
0,22;28,9375;3,6875;7,5;3,532899856567383;0;
0,222;28,9375;3,6875;7,5;3,532899856567383;0;
0,224;28,9375;3,6875;7,5;3,532899856567383;0;
0,227;28,9375;3,6875;7,5;3,532899856567383;0;
0,228;28,9375;3,6875;7,5;3,532899856567383;0;
0,23;28,9375;3,6875;7,5;3,532899856567383;0;
0,232;28,9375;3,6875;7,5;3,532899856567383;0;
0,234;28,9375;3,6875;7,5;3,532899856567383;0;
0,236;28,9375;3,6875;7,5;3,532899856567383;0;
0,238;28,9375;3,6875;7,5;3,532899856567383;0;
0,24;28,9375;3,6875;7,5;3,532899856567383;0;
0,242;28,9375;3,6875;7,5;3,532899856567383;0;
0,244;28,9375;3,6875;7,5;3,532899856567383;0;
0,246;28,9375;3,6875;7,5;3,532899856567383;0;
0,248;28,9375;3,6875;7,5;3,532899856567383;0;
0,25;28,9375;3,6875;7,5;3,532899856567383;0;
0,252;28,9375;3,6875;7,5;3,532899856567383;0;
0,254;28,9375;3,6875;7,5;3,532899856567383;0;
0,256;28,9375;3,6875;7,5;3,532899856567383;0;
0,258;28,9375;3,6875;7,5;3,532899856567383;0;
0,261;28,9375;3,6875;7,5;3,532899856567383;0;
0,262;28,9375;3,6875;7,5;3,532899856567383;0;
0,264;28,9375;3,6875;7,5;3,532899856567383;0;
0,266;28,9375;3,6875;7,5;3,532899856567383;0;
0,268;28,9375;3,6875;7,5;3,532899856567383;0;
0,27;28,9375;3,6875;7,5;3,532899856567383;0;
0,271;28,9375;3,6875;7,5;3,532899856567383;0;
0,274;28,9375;3,6875;7,5;3,532899856567383;0;
0,276;28,9375;3,6875;7,5;3,532899856567383;0;
0,278;28,9375;3,6875;7,5;3,532899856567383;0;
