time;copter_pitch_angle;copter_roll_angle;copter_yaw_angle;copter_z_distance;SS;
0;28,9375;3,5;359,6875;3,532899856567383;0;
0,004;28,9375;3,5;359,6875;3,532899856567383;0;
0,007;28,9375;3,5;359,6875;3,532899856567383;0;
0,009;28,9375;3,5;359,6875;3,532899856567383;0;
0,012;28,9375;3,5;359,6875;3,532899856567383;0;
0,014;28,9375;3,5;359,6875;3,532899856567383;0;
0,016;28,9375;3,5;359,6875;3,532899856567383;0;
0,018;28,9375;3,5;359,6875;3,532899856567383;0;
0,02;28,9375;3,5;359,6875;3,532899856567383;0;
0,023;28,9375;3,5;359,6875;3,532899856567383;0;
0,025;28,9375;3,5;359,6875;3,532899856567383;0;
0,027;28,9375;3,5;359,6875;3,532899856567383;0;
0,03;28,9375;3,5;359,6875;3,532899856567383;0;
0,032;28,9375;3,5;359,6875;3,532899856567383;0;
0,034;28,9375;3,5;359,6875;3,532899856567383;0;
0,036;28,9375;3,5;359,6875;3,532899856567383;0;
0,038;28,9375;3,5;359,6875;3,532899856567383;0;
0,04;28,9375;3,5;359,6875;3,532899856567383;0;
0,043;28,9375;3,5;359,6875;3,532899856567383;0;
0,044;28,9375;3,5;359,6875;3,532899856567383;0;
0,046;28,9375;3,5;359,6875;3,532899856567383;0;
0,048;28,9375;3,5;359,6875;3,532899856567383;0;
0,051;28,9375;3,5;359,6875;3,532899856567383;0;
0,053;28,9375;3,5;359,6875;3,532899856567383;0;
0,055;28,9375;3,5;359,6875;3,532899856567383;0;
0,058;28,9375;3,5;359,6875;3,532899856567383;0;
0,06;28,9375;3,5;359,6875;3,532899856567383;0;
0,062;28,9375;3,5;359,6875;3,532899856567383;0;
0,064;28,9375;3,5;359,6875;3,532899856567383;0;
0,066;28,9375;3,5;359,6875;3,532899856567383;0;
0,068;28,9375;3,5;359,6875;3,532899856567383;0;
0,07;28,9375;3,5;359,6875;3,532899856567383;0;
0,072;28,9375;3,5;359,6875;3,532899856567383;0;
0,074;28,9375;3,5;359,6875;3,532899856567383;0;
0,077;28,9375;3,5;359,6875;3,532899856567383;0;
0,079;28,9375;3,5;359,6875;3,532899856567383;0;
0,081;28,9375;3,5;359,6875;3,532899856567383;0;
0,083;28,9375;3,5;359,6875;3,532899856567383;0;
0,085;28,9375;3,5;359,6875;3,532899856567383;0;
0,087;28,9375;3,5;359,6875;3,532899856567383;0;
0,089;28,9375;3,5;359,6875;3,532899856567383;0;
0,091;28,9375;3,5;359,6875;3,532899856567383;0;
0,093;28,9375;3,5;359,6875;3,532899856567383;0;
0,094;28,9375;3,5;359,6875;3,532899856567383;0;
0,096;28,9375;3,5;359,6875;3,532899856567383;0;
0,098;28,9375;3,5;359,6875;3,532899856567383;0;
0,099;28,9375;3,5;359,6875;3,532899856567383;0;
0,101;28,9375;3,5;359,6875;3,532899856567383;0;
0,103;28,9375;3,5;359,6875;3,532899856567383;0;
0,105;28,9375;3,5;359,6875;3,532899856567383;0;
0,107;28,9375;3,5;359,6875;3,532899856567383;0;
0,108;28,9375;3,5;359,6875;3,532899856567383;0;
0,11;28,9375;3,5;359,6875;3,532899856567383;0;
0,111;28,9375;3,5;359,6875;3,532899856567383;0;
0,113;28,9375;3,5;359,6875;3,532899856567383;0;
0,115;28,9375;3,5;359,6875;3,532899856567383;0;
0,117;28,9375;3,5;359,6875;3,532899856567383;0;
0,119;28,9375;3,5;359,6875;3,532899856567383;0;
0,121;28,9375;3,5;359,6875;3,532899856567383;0;
0,123;28,9375;3,5;359,6875;3,532899856567383;0;
0,125;28,9375;3,5;359,6875;3,532899856567383;0;
0,127;28,9375;3,5;359,6875;3,532899856567383;0;
0,129;28,9375;3,5;359,6875;3,532899856567383;0;
0,131;28,9375;3,5;359,6875;3,532899856567383;0;
0,132;28,9375;3,5;359,6875;3,532899856567383;0;
0,134;28,9375;3,5;359,6875;3,532899856567383;0;
0,136;28,9375;3,5;359,6875;3,532899856567383;0;
0,138;28,9375;3,5;359,6875;3,532899856567383;0;
0,14;28,9375;3,5;359,6875;3,532899856567383;0;
0,142;28,9375;3,5;359,6875;3,532899856567383;0;
0,144;28,9375;3,5;359,6875;3,532899856567383;0;
0,146;28,9375;3,5;359,6875;3,532899856567383;0;
0,148;28,9375;3,5;359,6875;3,532899856567383;0;
0,15;28,9375;3,5;359,6875;3,532899856567383;0;
0,152;28,9375;3,5;359,6875;3,532899856567383;0;
0,154;28,9375;3,5;359,6875;3,532899856567383;0;
0,156;28,9375;3,5;359,6875;3,532899856567383;0;
0,159;28,9375;3,5;359,6875;3,532899856567383;0;
0,161;28,9375;3,5;359,6875;3,532899856567383;0;
0,163;28,9375;3,5;359,6875;3,532899856567383;0;
0,165;28,9375;3,5;359,6875;3,532899856567383;0;
0,167;28,9375;3,5;359,6875;3,532899856567383;0;
0,169;28,9375;3,5;359,6875;3,532899856567383;0;
0,171;28,9375;3,5;359,6875;3,532899856567383;0;
0,173;28,9375;3,5;359,6875;3,532899856567383;0;
0,177;28,9375;3,5;359,6875;3,532899856567383;0;
0,179;28,9375;3,5;359,6875;3,532899856567383;0;
0,181;28,9375;3,5;359,6875;3,532899856567383;0;
0,183;28,9375;3,5;359,6875;3,532899856567383;0;
0,185;28,9375;3,5;359,6875;3,532899856567383;0;
0,187;28,9375;3,5;359,6875;3,532899856567383;0;
0,189;28,9375;3,5;359,6875;3,532899856567383;0;
0,191;28,9375;3,5;359,6875;3,532899856567383;0;
0,193;28,9375;3,5;359,6875;3,532899856567383;0;
0,195;28,9375;3,5;359,6875;3,532899856567383;0;
0,197;28,9375;3,5;359,6875;3,532899856567383;0;
0,199;28,9375;3,5;359,6875;3,532899856567383;0;
0,201;28,9375;3,5;359,6875;3,532899856567383;0;
0,203;28,9375;3,5;359,6875;3,532899856567383;0;
0,205;28,9375;3,5;359,6875;3,532899856567383;0;
0,207;28,9375;3,5;359,6875;3,532899856567383;0;
0,208;28,9375;3,5;359,6875;3,532899856567383;0;
0,21;28,9375;3,5;359,6875;3,532899856567383;0;
0,212;28,9375;3,5;359,6875;3,532899856567383;0;
0,214;28,9375;3,5;359,6875;3,532899856567383;0;
0,216;28,9375;3,5;359,6875;3,532899856567383;0;
0,218;28,9375;3,5;359,6875;3,532899856567383;0;
0,219;28,9375;3,5;359,6875;3,532899856567383;0;
0,222;28,9375;3,5;359,6875;3,532899856567383;0;
0,224;28,9375;3,5;359,6875;3,532899856567383;0;
0,226;28,9375;3,5;359,6875;3,532899856567383;0;
0,228;28,9375;3,5;359,6875;3,532899856567383;0;
0,23;28,9375;3,5;359,6875;3,532899856567383;0;
0,231;28,9375;3,5;359,6875;3,532899856567383;0;
0,233;28,9375;3,5;359,6875;3,532899856567383;0;
0,235;28,9375;3,5;359,6875;3,532899856567383;0;
0,237;28,9375;3,5;359,6875;3,532899856567383;0;
0,239;28,9375;3,5;359,6875;3,532899856567383;0;
0,241;28,9375;3,5;359,6875;3,532899856567383;0;
0,243;28,9375;3,5;359,6875;3,532899856567383;0;
0,245;28,9375;3,5;359,6875;3,532899856567383;0;
0,246;28,9375;3,5;359,6875;3,532899856567383;0;
0,248;28,9375;3,5;359,6875;3,532899856567383;0;
0,249;28,9375;3,5;359,6875;3,532899856567383;0;
0,251;28,9375;3,5;359,6875;3,532899856567383;0;
0,253;28,9375;3,5;359,6875;3,532899856567383;0;
0,255;28,9375;3,5;359,6875;3,532899856567383;0;
0,257;28,9375;3,5;359,6875;3,532899856567383;0;
0,259;28,9375;3,5;359,6875;3,532899856567383;0;
0,261;28,9375;3,5;359,6875;3,532899856567383;0;
0,263;28,9375;3,5;359,6875;3,532899856567383;0;
0,264;28,9375;3,5;359,6875;3,532899856567383;0;
0,266;28,9375;3,5;359,6875;3,532899856567383;0;
0,268;28,9375;3,5;359,6875;3,532899856567383;0;
0,27;28,9375;3,5;359,6875;3,532899856567383;0;
0,272;28,9375;3,5;359,6875;3,532899856567383;0;
0,274;28,9375;3,5;359,6875;3,532899856567383;0;
0,276;28,9375;3,5;359,6875;3,532899856567383;0;
0,277;28,9375;3,5;359,6875;3,532899856567383;0;
0,279;28,9375;3,5;359,6875;3,532899856567383;0;
0,281;28,9375;3,5;359,6875;3,532899856567383;0;
0,282;28,9375;3,5;359,6875;3,532899856567383;0;
0,284;28,9375;3,5;359,6875;3,532899856567383;0;
0,285;28,9375;3,5;359,6875;3,532899856567383;0;
0,287;28,9375;3,5;359,6875;3,532899856567383;0;
0,289;28,9375;3,5;359,6875;3,532899856567383;0;
0,291;28,9375;3,5;359,6875;3,532899856567383;0;
0,292;28,9375;3,5;359,6875;3,532899856567383;0;
0,294;28,9375;3,5;359,6875;3,532899856567383;0;
0,295;28,9375;3,5;359,6875;3,532899856567383;0;
0,297;28,9375;3,5;359,6875;3,532899856567383;0;
0,299;28,9375;3,5;359,6875;3,532899856567383;0;
0,3;28,9375;3,5;359,6875;3,532899856567383;0;
0,301;28,9375;3,5;359,6875;3,532899856567383;0;
0,303;28,9375;3,5;359,6875;3,532899856567383;0;
0,305;28,9375;3,5;359,6875;3,532899856567383;0;
0,307;28,9375;3,5;359,6875;3,532899856567383;0;
0,309;28,9375;3,5;359,6875;3,532899856567383;0;
0,31;28,9375;3,5;359,6875;3,532899856567383;0;
0,312;28,9375;3,5;359,6875;3,532899856567383;0;
0,314;28,9375;3,5;359,6875;3,532899856567383;0;
0,316;28,9375;3,5;359,6875;3,532899856567383;0;
0,318;28,9375;3,5;359,6875;3,532899856567383;0;
0,32;28,9375;3,5;359,6875;3,532899856567383;0;
0,322;28,9375;3,5;359,6875;3,532899856567383;0;
0,324;28,9375;3,5;359,6875;3,532899856567383;0;
0,326;28,9375;3,5;359,6875;3,532899856567383;0;
0,328;28,9375;3,5;359,6875;3,532899856567383;0;
0,33;28,9375;3,5;359,6875;3,532899856567383;0;
0,332;28,9375;3,5;359,6875;3,532899856567383;0;
0,333;28,9375;3,5;359,6875;3,532899856567383;0;
0,335;28,9375;3,5;359,6875;3,532899856567383;0;
0,337;28,9375;3,5;359,6875;3,532899856567383;0;
0,339;28,9375;3,5;359,6875;3,532899856567383;0;
0,341;28,9375;3,5;359,6875;3,532899856567383;0;
0,343;28,9375;3,5;359,6875;3,532899856567383;0;
0,345;28,9375;3,5;359,6875;3,532899856567383;0;
0,347;28,9375;3,5;359,6875;3,532899856567383;0;
0,349;28,9375;3,5;359,6875;3,532899856567383;0;
0,35;28,9375;3,5;359,6875;3,532899856567383;0;
0,352;28,9375;3,5;359,6875;3,532899856567383;0;
0,355;28,9375;3,5;359,6875;3,532899856567383;0;
0,356;28,9375;3,5;359,6875;3,532899856567383;0;
0,358;28,9375;3,5;359,6875;3,532899856567383;0;
0,361;28,9375;3,5;359,6875;3,532899856567383;0;
0,362;28,9375;3,5;359,6875;3,532899856567383;0;
0,364;28,9375;3,5;359,6875;3,532899856567383;0;
0,366;28,9375;3,5;359,6875;3,532899856567383;0;
0,368;28,9375;3,5;359,6875;3,532899856567383;0;
0,37;28,9375;3,5;359,6875;3,532899856567383;0;
0,372;28,9375;3,5;359,6875;3,532899856567383;0;
0,374;28,9375;3,5;359,6875;3,532899856567383;0;
0,376;28,9375;3,5;359,6875;3,532899856567383;0;
0,378;28,9375;3,5;359,6875;3,532899856567383;0;
0,38;28,9375;3,5;359,6875;3,532899856567383;0;
0,382;28,9375;3,5;359,6875;3,532899856567383;0;
0,384;28,9375;3,5;359,6875;3,532899856567383;0;
0,385;28,9375;3,5;359,6875;3,532899856567383;0;
0,387;28,9375;3,5;359,6875;3,532899856567383;0;
0,389;28,9375;3,5;359,6875;3,532899856567383;0;
0,391;28,9375;3,5;359,6875;3,532899856567383;0;
0,393;28,9375;3,5;359,6875;3,532899856567383;0;
0,395;28,9375;3,5;359,6875;3,532899856567383;0;
0,397;28,9375;3,5;359,6875;3,532899856567383;0;
0,398;28,9375;3,5;359,6875;3,532899856567383;0;
0,4;28,9375;3,5;359,6875;3,532899856567383;0;
0,401;28,9375;3,5;359,6875;3,532899856567383;0;
0,403;28,9375;3,5;359,6875;3,532899856567383;0;
0,405;28,9375;3,5;359,6875;3,532899856567383;0;
0,407;28,9375;3,5;359,6875;3,532899856567383;0;
0,409;28,9375;3,5;359,6875;3,532899856567383;0;
0,411;28,9375;3,5;359,6875;3,532899856567383;0;
0,413;28,9375;3,5;359,6875;3,532899856567383;0;
0,414;28,9375;3,5;359,6875;3,532899856567383;0;
0,415;28,9375;3,5;359,6875;3,532899856567383;0;
0,417;28,9375;3,5;359,6875;3,532899856567383;0;
0,419;28,9375;3,5;359,6875;3,532899856567383;0;
0,421;28,9375;3,5;359,6875;3,532899856567383;0;
0,423;28,9375;3,5;359,6875;3,532899856567383;0;
0,425;28,9375;3,5;359,6875;3,532899856567383;0;
0,427;28,9375;3,5;359,6875;3,532899856567383;0;
0,429;28,9375;3,5;359,6875;3,532899856567383;0;
0,431;28,9375;3,5;359,6875;3,532899856567383;0;
0,433;28,9375;3,5;359,6875;3,532899856567383;0;
0,434;28,9375;3,5;359,6875;3,532899856567383;0;
0,436;28,9375;3,5;359,6875;3,532899856567383;0;
0,438;28,9375;3,5;359,6875;3,532899856567383;0;
0,44;28,9375;3,5;359,6875;3,532899856567383;0;
0,442;28,9375;3,5;359,6875;3,532899856567383;0;
0,444;28,9375;3,5;359,6875;3,532899856567383;0;
0,445;28,9375;3,5;359,6875;3,532899856567383;0;
0,447;28,9375;3,5;359,6875;3,532899856567383;0;
0,448;28,9375;3,5;359,6875;3,532899856567383;0;
0,45;28,9375;3,5;359,6875;3,532899856567383;0;
0,451;28,9375;3,5;359,6875;3,532899856567383;0;
0,453;28,9375;3,5;359,6875;3,532899856567383;0;
0,455;28,9375;3,5;359,6875;3,532899856567383;0;
0,457;28,9375;3,5;359,6875;3,532899856567383;0;
0,459;28,9375;3,5;359,6875;3,532899856567383;0;
0,461;28,9375;3,5;359,6875;3,532899856567383;0;
0,463;28,9375;3,5;359,6875;3,532899856567383;0;
