time;copter_pitch_angle;copter_roll_angle;copter_yaw_angle;copter_z_distance;REF_PITCH_ANGLE;REF_ROLL_ANGLE;REF_YAW_ANGLE;REF_Z_DISTANCE;SS;
0;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,007;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,012;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,016;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,021;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,025;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,029;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,033;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,037;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,041;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,045;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,049;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,053;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,057;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,061;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,066;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,07;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,075;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,078;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,082;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,087;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,091;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,095;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,099;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,103;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,107;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,11;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,114;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,118;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,122;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,126;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,13;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,134;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,138;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,142;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,146;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,149;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,153;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,156;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,159;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,162;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,165;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,169;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,173;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,177;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,179;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,183;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,189;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,193;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,196;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,2;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,207;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,21;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,214;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,218;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,222;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,226;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,23;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,235;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,239;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,243;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,246;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,25;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,253;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,257;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,259;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
0,262;29,25;-0,6875;359,9375;3,121299982070923;0;0;100;10;0;
