time,copter_pitch_angle,copter_pitch_angle_kal,copter_pitch_angle_komp,copter_roll_angle,copter_roll_angle_kal,copter_roll_angle_komp,
0,28.25,28.26215362548828,28.266571044921875,-7.125,-7.12072229385376,-7.129475116729736,
0.008,28.25,28.26215362548828,28.266571044921875,-7.125,-7.12072229385376,-7.129475116729736,
0.019,28.25,28.26317024230957,28.26782989501953,-7.125,-7.121744632720947,-7.130160808563232,
0.028,28.25,28.26300811767578,28.26762580871582,-7.125,-7.121570587158203,-7.129370212554932,
0.038,28.25,28.260494232177734,28.265865325927734,-7.125,-7.118284702301025,-7.126378059387207,
0.048,28.25,28.256122589111328,28.261951446533203,-7.125,-7.120826721191406,-7.1293253898620605,
0.058,28.25,28.25674057006836,28.262386322021484,-7.125,-7.115959644317627,-7.124422550201416,
0.068,28.25,28.257925033569336,28.263404846191406,-7.125,-7.112802982330322,-7.121392726898193,
0.078,28.25,28.265161514282227,28.268932342529297,-7.125,-7.1138434410095215,-7.122993469238281,
0.088,28.25,28.27053451538086,28.272863388061523,-7.125,-7.117465019226074,-7.126542568206787,
0.098,28.25,28.26495933532715,28.268625259399414,-7.125,-7.119482517242432,-7.128247261047363,
0.108,28.25,28.26291275024414,28.266822814941406,-7.125,-7.123229026794434,-7.132486343383789,
0.118,28.25,28.260290145874023,28.264772415161133,-7.125,-7.128165245056152,-7.136809349060059,
0.128,28.25,28.26139259338379,28.26497459411621,-7.125,-7.131004810333252,-7.139370441436768,
0.138,28.25,28.26643943786621,28.269390106201172,-7.125,-7.129803657531738,-7.138406753540039,
0.148,28.25,28.269075393676758,28.271869659423828,-7.125,-7.128479480743408,-7.136697292327881,
0.158,28.25,28.269363403320312,28.27225112915039,-7.125,-7.129533290863037,-7.136798858642578,
0.168,28.25,28.26725196838379,28.270545959472656,-7.125,-7.1330246925354,-7.140390396118164,
0.178,28.25,28.265783309936523,28.269302368164062,-7.125,-7.135628700256348,-7.142322540283203,
0.188,28.25,28.264650344848633,28.26828956604004,-7.125,-7.133541584014893,-7.139300346374512,
0.198,28.25,28.26862335205078,28.271282196044922,-7.125,-7.132124423980713,-7.137948989868164,
0.208,28.25,28.271350860595703,28.273387908935547,-7.125,-7.131277561187744,-7.137898921966553,
0.218,28.25,28.272186279296875,28.274555206298828,-7.125,-7.133093357086182,-7.139456748962402,
0.228,28.25,28.27081298828125,28.273805618286133,-7.125,-7.132623672485352,-7.138785362243652,
0.238,28.25,28.270631790161133,28.27328872680664,-7.125,-7.132351398468018,-7.138406276702881,
0.248,28.25,28.269670486450195,28.272621154785156,-7.125,-7.132452487945557,-7.138855457305908,
0.258,28.25,28.27004051208496,28.272571563720703,-7.125,-7.131285190582275,-7.137765884399414,
0.268,28.25,28.273967742919922,28.2757625579834,-7.125,-7.129560470581055,-7.136241436004639,
0.278,28.25,28.274246215820312,28.276092529296875,-7.125,-7.127811908721924,-7.134592533111572,
