time;copter_pitch_angle;copter_pitch_angle_kal;copter_pitch_angle_komp;copter_roll_angle;copter_roll_angle_kal;copter_roll_angle_komp;REF_PITCH_ANGLE;REF_ROLL_ANGLE;REF_YAW_ANGLE;REF_Z_DISTANCE;SS;
611,528;27,9375;27,91138458251953;27,929712295532227;9,0625;9,310614585876465;9,293315887451172;0;0;100;10;0;
611,532;27,9375;27,916379928588867;27,933067321777344;9,0625;9,290361404418945;9,280158042907715;0;0;100;10;0;
611,536;27,9375;27,916379928588867;27,933067321777344;9,0625;9,290361404418945;9,280158042907715;0;0;100;10;0;
611,539;27,9375;27,916379928588867;27,933067321777344;9,0625;9,290361404418945;9,280158042907715;0;0;100;10;0;
611,542;27,9375;27,916379928588867;27,933067321777344;9,0625;9,290361404418945;9,280158042907715;0;0;100;10;0;
611,546;27,9375;27,910940170288086;27,9285888671875;9,0625;9,27621841430664;9,272811889648438;0;0;100;10;0;
611,549;27,9375;27,9172420501709;27,93157958984375;9,0625;9,186772346496582;9,214860916137695;0;0;100;10;0;
611,552;27,9375;27,9172420501709;27,93157958984375;9,0625;9,186772346496582;9,214860916137695;0;0;100;10;0;
611,555;27,9375;27,9172420501709;27,93157958984375;9,0625;9,186772346496582;9,214860916137695;0;0;100;10;0;
611,558;27,9375;27,9172420501709;27,93157958984375;9,0625;9,186772346496582;9,214860916137695;0;0;100;10;0;
611,562;27,9375;27,9172420501709;27,93157958984375;9,0625;9,186772346496582;9,214860916137695;0;0;100;10;0;
611,565;27,9375;27,898387908935547;27,919052124023438;9,0625;9,248079299926758;9,253229141235352;0;0;100;10;0;
611,568;27,9375;27,898387908935547;27,919052124023438;9,0625;9,248079299926758;9,253229141235352;0;0;100;10;0;
611,571;27,9375;27,898387908935547;27,919052124023438;9,0625;9,248079299926758;9,253229141235352;0;0;100;10;0;
611,574;27,9375;27,912220001220703;27,92810821533203;9,0625;9,207474708557129;9,22732162475586;0;0;100;10;0;
611,576;27,9375;27,912220001220703;27,92810821533203;9,0625;9,207474708557129;9,22732162475586;0;0;100;10;0;
611,58;27,9375;27,912220001220703;27,92810821533203;9,0625;9,207474708557129;9,22732162475586;0;0;100;10;0;
611,583;27,9375;27,925243377685547;27,93663215637207;9,0625;9,265835762023926;9,267094612121582;0;0;100;10;0;
611,587;27,9375;27,925243377685547;27,93663215637207;9,0625;9,265835762023926;9,267094612121582;0;0;100;10;0;
611,59;27,9375;27,925243377685547;27,93663215637207;9,0625;9,265835762023926;9,267094612121582;0;0;100;10;0;
611,594;27,9375;27,92140007019043;27,933807373046875;9,0625;9,195250511169434;9,221048355102539;0;0;100;10;0;
611,597;27,9375;27,92140007019043;27,933807373046875;9,0625;9,195250511169434;9,221048355102539;0;0;100;10;0;
611,601;27,9375;27,90448760986328;27,922229766845703;9,0625;9,279985427856445;9,276663780212402;0;0;100;10;0;
611,604;27,9375;27,90448760986328;27,922229766845703;9,0625;9,279985427856445;9,276663780212402;0;0;100;10;0;
611,608;27,9375;27,90448760986328;27,922229766845703;9,0625;9,279985427856445;9,276663780212402;0;0;100;10;0;
611,611;27,9375;27,90448760986328;27,922229766845703;9,0625;9,279985427856445;9,276663780212402;0;0;100;10;0;
611,615;27,9375;27,908611297607422;27,925430297851562;9,0625;9,312960624694824;9,298108100891113;0;0;100;10;0;
611,619;27,9375;27,908611297607422;27,925430297851562;9,0625;9,312960624694824;9,298108100891113;0;0;100;10;0;
611,623;27,9375;27,908611297607422;27,925430297851562;9,0625;9,312960624694824;9,298108100891113;0;0;100;10;0;
611,626;27,9375;27,90481948852539;27,922325134277344;9,0625;9,340335845947266;9,316235542297363;0;0;100;10;0;
611,63;27,9375;27,90481948852539;27,922325134277344;9,0625;9,340335845947266;9,316235542297363;0;0;100;10;0;
611,633;27,9375;27,91943359375;27,931150436401367;9,0625;9,26618766784668;9,267901420593262;0;0;100;10;0;
611,636;27,9375;27,91943359375;27,931150436401367;9,0625;9,26618766784668;9,267901420593262;0;0;100;10;0;
611,639;27,9375;27,91943359375;27,931150436401367;9,0625;9,26618766784668;9,267901420593262;0;0;100;10;0;
611,643;27,9375;27,91943359375;27,931150436401367;9,0625;9,26618766784668;9,267901420593262;0;0;100;10;0;
611,646;27,9375;27,90505027770996;27,920936584472656;9,0625;9,32705020904541;9,308088302612305;0;0;100;10;0;
611,649;27,9375;27,908432006835938;27,923349380493164;9,0625;9,3668851852417;9,33384895324707;0;0;100;10;0;
611,652;27,9375;27,908432006835938;27,923349380493164;9,0625;9,3668851852417;9,33384895324707;0;0;100;10;0;
611,655;27,9375;27,908432006835938;27,923349380493164;9,0625;9,3668851852417;9,33384895324707;0;0;100;10;0;
611,658;27,9375;27,908432006835938;27,923349380493164;9,0625;9,3668851852417;9,33384895324707;0;0;100;10;0;
