time;copter_pitch_angle;copter_roll_angle;copter_yaw_angle;copter_z_distance;REF_PITCH_ANGLE;REF_ROLL_ANGLE;REF_YAW_ANGLE;REF_Z_DISTANCE;SS;
553,235;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,239;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,243;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,246;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,25;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,254;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,257;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,261;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,264;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,268;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,272;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,276;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,279;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,283;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,286;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,29;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,293;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,297;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,3;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,304;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,308;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,311;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,315;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,319;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,322;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,326;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,329;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,333;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,336;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,34;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,344;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,347;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,351;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,354;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,358;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,361;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,365;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,368;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,372;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,376;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,379;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,383;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,387;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,39;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,394;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,397;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,401;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,404;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,408;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,411;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,414;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,418;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,422;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,425;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,429;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,433;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,437;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,441;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,444;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,448;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,452;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,455;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,459;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,463;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,466;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,47;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,473;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,477;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,48;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,484;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,488;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,491;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,495;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,498;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,502;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,506;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,509;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,512;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,515;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,519;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,522;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,526;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,53;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,532;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,536;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,54;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,542;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,546;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,549;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,553;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,556;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,559;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,562;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,565;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,569;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,572;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,576;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,579;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,582;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,586;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,59;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,593;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,597;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,6;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,604;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,608;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,611;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,614;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,618;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,621;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,625;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,628;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,632;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,635;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,639;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,642;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,646;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,649;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,653;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,657;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,66;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,663;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,666;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,67;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,674;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,677;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,681;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,684;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,688;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,691;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,694;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,697;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,7;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,704;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,708;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,711;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,714;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,717;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,721;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,725;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,728;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,731;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,734;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,738;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,741;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,744;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,747;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,75;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,754;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,757;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,761;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,764;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,767;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,771;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,774;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,777;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,779;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,783;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,786;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,79;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,792;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,795;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,798;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,801;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,805;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,809;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,812;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,815;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,818;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,822;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,825;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,828;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,831;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,834;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,838;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,841;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,844;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,847;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,85;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,854;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,858;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,861;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,864;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,867;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,87;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,874;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,876;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,879;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,882;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,885;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,888;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,891;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,894;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,897;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,9;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,904;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,907;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,911;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,914;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,918;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,921;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,925;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,928;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,931;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,934;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,938;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,941;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,943;29,4375;0,375;359,4375;3,532899856567383;0;0;100;10;0;
553,946;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,95;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,953;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,957;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,96;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,962;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,965;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,969;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,972;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,975;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,978;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,981;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,984;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,988;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,992;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,995;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
553,998;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
554,001;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
554,004;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
554,008;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
554,011;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
554,014;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
554,017;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
554,02;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
554,023;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
554,026;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
554,028;29,4375;0,375;359,4375;2,658249855041504;0;0;100;10;0;
