time,copter_pitch_angle,copter_pitch_angle_kal,copter_pitch_angle_komp,copter_roll_angle,copter_roll_angle_kal,copter_roll_angle_komp,
0,25.8125,25.797513961791992,25.801883697509766,16.375,16.345895767211914,16.34367561340332,
0.008,25.8125,25.79561996459961,25.801156997680664,16.375,16.346050262451172,16.342330932617188,
0.018,25.8125,25.794849395751953,25.801921844482422,16.375,16.347021102905273,16.343948364257812,
0.028,25.8125,25.795318603515625,25.80203628540039,16.375,16.348230361938477,16.344768524169922,
0.038,25.8125,25.795318603515625,25.80203628540039,16.375,16.347042083740234,16.344768524169922,
0.048,25.8125,25.79741668701172,25.805734634399414,16.375,16.348724365234375,16.343120574951172,
0.058,25.8125,25.7994384765625,25.810531616210938,16.375,16.34636116027832,16.344995498657227,
0.068,25.8125,25.79372787475586,25.80305290222168,16.375,16.34565544128418,16.340980529785156,
0.078,25.8125,25.79372787475586,25.80305290222168,16.375,16.345481872558594,16.340980529785156,
0.088,25.8125,25.791872024536133,25.799209594726562,16.375,16.346155166625977,16.34029769897461,
0.098,25.8125,25.793479919433594,25.80199432373047,16.375,16.346155166625977,16.342571258544922,
0.108,25.8125,25.795583724975586,25.807247161865234,16.375,16.34554672241211,16.34192657470703,
0.118,25.8125,25.79711151123047,25.809751510620117,16.375,16.34664535522461,16.341999053955078,
0.128,25.8125,25.797588348388672,25.810501098632812,16.375,16.345783233642578,16.341032028198242,
0.138,25.8125,25.795080184936523,25.80682373046875,16.375,16.346323013305664,16.340518951416016,
0.148,25.8125,25.7937068939209,25.805767059326172,16.375,16.345685958862305,16.340652465820312,
0.158,25.8125,25.795438766479492,25.806177139282227,16.375,16.345056533813477,16.341157913208008,
0.168,25.8125,25.79892921447754,25.81058692932129,16.375,16.343460083007812,16.33823013305664,
0.177,25.8125,25.800291061401367,25.8134822845459,16.375,16.341718673706055,16.335039138793945,
0.188,25.8125,25.798641204833984,25.811843872070312,16.375,16.340145111083984,16.331567764282227,
0.198,25.8125,25.797653198242188,25.811473846435547,16.375,16.34163475036621,16.334121704101562,
0.208,25.8125,25.79759979248047,25.811185836791992,16.375,16.34225082397461,16.33677864074707,
0.218,25.8125,25.798587799072266,25.812240600585938,16.375,16.34288787841797,16.337430953979492,
0.227,25.8125,25.799678802490234,25.813430786132812,16.375,16.338850021362305,16.33148956298828,
0.238,25.8125,25.79973030090332,25.814115524291992,16.375,16.337696075439453,16.327892303466797,
0.248,25.8125,25.799009323120117,25.81159019470215,16.375,16.337982177734375,16.327945709228516,
0.258,25.8125,25.796566009521484,25.80936050415039,16.375,16.341720581054688,16.33306884765625,
0.268,25.8125,25.79404640197754,25.806657791137695,16.375,16.343595504760742,16.335235595703125,
0.278,25.8125,25.79172706604004,25.804122924804688,16.375,16.343463897705078,16.334157943725586,
0.288,25.8125,25.790264129638672,25.803091049194336,16.375,16.342334747314453,16.33182716369629,
0.298,25.8125,25.792118072509766,25.804182052612305,16.375,16.342206954956055,16.331026077270508,
0.308,25.8125,25.79113006591797,25.803213119506836,16.375,16.340927124023438,16.328237533569336,
0.318,25.8125,25.792179107666016,25.804153442382812,16.375,16.3409366607666,16.32935333251953,
