time,copter_pitch_angle,copter_pitch_angle_kal,copter_pitch_angle_komp,copter_roll_angle,copter_roll_angle_kal,copter_roll_angle_komp,
0,29.75,29.744430541992188,29.75116729736328,-1.1875,-1.042507529258728,-1.0580697059631348,
0.009,29.75,29.744430541992188,29.75116729736328,-1.1875,-1.042507529258728,-1.0580697059631348,
0.019,29.75,29.743694305419922,29.750680923461914,-1.1875,-1.0428155660629272,-1.060250997543335,
0.029,29.75,29.743162155151367,29.751605987548828,-1.1875,-1.0416258573532104,-1.0598814487457275,
0.039,29.75,29.744338989257812,29.7533016204834,-1.1875,-1.041548490524292,-1.0609925985336304,
0.049,29.75,29.74492073059082,29.753026962280273,-1.1875,-1.0435831546783447,-1.0615309476852417,
0.059,29.75,29.746349334716797,29.753253936767578,-1.1875,-1.046042799949646,-1.0638320446014404,
0.069,29.75,29.748289108276367,29.75555419921875,-1.1875,-1.045920491218567,-1.0630559921264648,
0.079,29.75,29.75236701965332,29.759292602539062,-1.1875,-1.0449538230895996,-1.061084270477295,
0.089,29.75,29.753543853759766,29.7614688873291,-1.1875,-1.0436785221099854,-1.058109164237976,
0.099,29.75,29.75469207763672,29.76273536682129,-1.1875,-1.0424431562423706,-1.0562728643417358,
0.109,29.75,29.756643295288086,29.764652252197266,-1.1875,-1.041602611541748,-1.056099534034729,
0.119,29.75,29.758056640625,29.765153884887695,-1.1875,-1.041912317276001,-1.0551613569259644,
0.129,29.75,29.760053634643555,29.76767349243164,-1.1875,-1.041548728942871,-1.0541737079620361,
0.139,29.75,29.761796951293945,29.767898559570312,-1.1875,-1.0410672426223755,-1.0520434379577637,
0.149,29.75,29.76400375366211,29.76921844482422,-1.1875,-1.0389952659606934,-1.0521794557571411,
0.159,29.75,29.76477813720703,29.768735885620117,-1.1875,-1.0390383005142212,-1.0525147914886475,
0.169,29.75,29.76525115966797,29.77068519592285,-1.1875,-1.0389351844787598,-1.0520482063293457,
0.179,29.75,29.766162872314453,29.772480010986328,-1.1875,-1.038368821144104,-1.0504202842712402,
0.189,29.75,29.768590927124023,29.77496337890625,-1.1875,-1.0393993854522705,-1.0508769750595093,
0.199,29.75,29.768701553344727,29.773788452148438,-1.1875,-1.0397666692733765,-1.0523674488067627,
0.209,29.75,29.770349502563477,29.77298927307129,-1.1875,-1.0405323505401611,-1.0537917613983154,
0.219,29.75,29.770185470581055,29.77293586730957,-1.1875,-1.040297508239746,-1.0531097650527954,
0.229,29.75,29.770416259765625,29.77488899230957,-1.1875,-1.0394731760025024,-1.0508307218551636,
0.239,29.75,29.7711238861084,29.777692794799805,-1.1875,-1.0391831398010254,-1.0495463609695435,
0.249,29.75,29.771236419677734,29.777301788330078,-1.1875,-1.0389100313186646,-1.0503040552139282,
0.259,29.75,29.769975662231445,29.775033950805664,-1.1875,-1.0390712022781372,-1.051621913909912,
0.269,29.75,29.769433975219727,29.773160934448242,-1.1875,-1.0401482582092285,-1.0534439086914062,
