time;copter_pitch_angle;copter_pitch_angle_kal;copter_pitch_angle_komp;copter_roll_angle;copter_roll_angle_kal;copter_roll_angle_komp;
34,843;18,4375;19,09483528137207;19,106313705444336;-24,5625;-24,331531524658203;-24,333740234375;
34,845;18,4375;19,09483528137207;19,106313705444336;-24,5625;-24,331531524658203;-24,333740234375;
34,847;18,4375;19,09483528137207;19,106313705444336;-24,5625;-24,331531524658203;-24,333740234375;
34,849;18,4375;19,092321395874023;19,10314178466797;-24,5625;-24,32990837097168;-24,333173751831055;
34,85;18,4375;19,092321395874023;19,10314178466797;-24,5625;-24,32990837097168;-24,333173751831055;
34,852;18,4375;19,092321395874023;19,10314178466797;-24,5625;-24,32990837097168;-24,333173751831055;
34,854;18,4375;19,092321395874023;19,10314178466797;-24,5625;-24,32990837097168;-24,333173751831055;
34,855;18,4375;19,092321395874023;19,10314178466797;-24,5625;-24,32990837097168;-24,333173751831055;
34,857;18,4375;19,092321395874023;19,10314178466797;-24,5625;-24,32990837097168;-24,333173751831055;
34,858;18,4375;19,091163635253906;19,102296829223633;-24,5625;-24,32979393005371;-24,332271575927734;
34,859;18,4375;19,091163635253906;19,102296829223633;-24,5625;-24,32979393005371;-24,332271575927734;
34,861;18,4375;19,091163635253906;19,102296829223633;-24,5625;-24,32979393005371;-24,332271575927734;
34,863;18,4375;19,091163635253906;19,102296829223633;-24,5625;-24,32979393005371;-24,332271575927734;
34,864;18,4375;19,095760345458984;19,10502052307129;-24,5625;-24,325267791748047;-24,329269409179688;
34,866;18,4375;19,095760345458984;19,10502052307129;-24,5625;-24,325267791748047;-24,329269409179688;
34,867;18,4375;19,095760345458984;19,10502052307129;-24,5625;-24,325267791748047;-24,329269409179688;
34,869;18,4375;19,095760345458984;19,10502052307129;-24,5625;-24,325267791748047;-24,329269409179688;
34,87;18,4375;19,095760345458984;19,10502052307129;-24,5625;-24,325267791748047;-24,329269409179688;
34,872;18,4375;19,095760345458984;19,10502052307129;-24,5625;-24,325267791748047;-24,329269409179688;
34,873;18,4375;19,095760345458984;19,10502052307129;-24,5625;-24,325267791748047;-24,329269409179688;
34,875;18,4375;19,095760345458984;19,10502052307129;-24,5625;-24,325267791748047;-24,329269409179688;
34,876;18,4375;19,095760345458984;19,10502052307129;-24,5625;-24,325267791748047;-24,329269409179688;
34,878;18,4375;19,095369338989258;19,104490280151367;-24,5625;-24,32758903503418;-24,33095359802246;
34,879;18,4375;19,095369338989258;19,104490280151367;-24,5625;-24,32758903503418;-24,33095359802246;
34,881;18,4375;19,095369338989258;19,104490280151367;-24,5625;-24,32758903503418;-24,33095359802246;
34,883;18,4375;19,095369338989258;19,104490280151367;-24,5625;-24,32758903503418;-24,33095359802246;
34,884;18,4375;19,095369338989258;19,104490280151367;-24,5625;-24,32758903503418;-24,33095359802246;
34,885;18,4375;19,095369338989258;19,104490280151367;-24,5625;-24,32758903503418;-24,33095359802246;
34,887;18,4375;19,095369338989258;19,104490280151367;-24,5625;-24,32758903503418;-24,33095359802246;
34,888;18,4375;19,09331703186035;19,102718353271484;-24,5625;-24,327627182006836;-24,33127212524414;
34,89;18,4375;19,09331703186035;19,102718353271484;-24,5625;-24,327627182006836;-24,33127212524414;
34,891;18,4375;19,09331703186035;19,102718353271484;-24,5625;-24,327627182006836;-24,33127212524414;
34,893;18,4375;19,09331703186035;19,102718353271484;-24,5625;-24,327627182006836;-24,33127212524414;
34,894;18,4375;19,09331703186035;19,102718353271484;-24,5625;-24,327627182006836;-24,33127212524414;
34,896;18,4375;19,09331703186035;19,102718353271484;-24,5625;-24,327627182006836;-24,33127212524414;
34,897;18,4375;19,09331703186035;19,102718353271484;-24,5625;-24,327627182006836;-24,33127212524414;
34,899;18,4375;19,09756088256836;19,106555938720703;-24,5625;-24,325571060180664;-24,329925537109375;
34,901;18,4375;19,09756088256836;19,106555938720703;-24,5625;-24,325571060180664;-24,329925537109375;
34,902;18,4375;19,09756088256836;19,106555938720703;-24,5625;-24,325571060180664;-24,329925537109375;
34,904;18,4375;19,09756088256836;19,106555938720703;-24,5625;-24,325571060180664;-24,329925537109375;
34,906;18,4375;19,09756088256836;19,106555938720703;-24,5625;-24,325571060180664;-24,329925537109375;
34,907;18,4375;19,09756088256836;19,106555938720703;-24,5625;-24,325571060180664;-24,329925537109375;
34,909;18,4375;19,100318908691406;19,108745574951172;-24,5625;-24,32328987121582;-24,328306198120117;
34,911;18,4375;19,100318908691406;19,108745574951172;-24,5625;-24,32328987121582;-24,328306198120117;
34,912;18,4375;19,100318908691406;19,108745574951172;-24,5625;-24,32328987121582;-24,328306198120117;
34,914;18,4375;19,09880828857422;19,107656478881836;-24,5625;-24,319063186645508;-24,32493782043457;
34,916;18,4375;19,09880828857422;19,107656478881836;-24,5625;-24,319063186645508;-24,32493782043457;
34,918;18,4375;19,09880828857422;19,107656478881836;-24,5625;-24,319063186645508;-24,32493782043457;
34,919;18,4375;19,09880828857422;19,107656478881836;-24,5625;-24,319063186645508;-24,32493782043457;
34,921;18,4375;19,09880828857422;19,107656478881836;-24,5625;-24,319063186645508;-24,32493782043457;
34,922;18,4375;19,09880828857422;19,107656478881836;-24,5625;-24,319063186645508;-24,32493782043457;
34,924;18,4375;19,09880828857422;19,107656478881836;-24,5625;-24,319063186645508;-24,32493782043457;
34,926;18,4375;19,09880828857422;19,107656478881836;-24,5625;-24,319063186645508;-24,32493782043457;
34,927;18,4375;19,09880828857422;19,107656478881836;-24,5625;-24,319063186645508;-24,32493782043457;
34,929;18,4375;19,094635009765625;19,1044921875;-24,5625;-24,321002960205078;-24,325864791870117;
34,931;18,4375;19,094635009765625;19,1044921875;-24,5625;-24,321002960205078;-24,325864791870117;
34,933;18,4375;19,094635009765625;19,1044921875;-24,5625;-24,321002960205078;-24,325864791870117;
34,934;18,4375;19,094635009765625;19,1044921875;-24,5625;-24,321002960205078;-24,325864791870117;
34,936;18,4375;19,094635009765625;19,1044921875;-24,5625;-24,321002960205078;-24,325864791870117;
34,937;18,4375;19,094635009765625;19,1044921875;-24,5625;-24,321002960205078;-24,325864791870117;
34,939;18,4375;19,092195510864258;19,102684020996094;-24,5625;-24,317432403564453;-24,323440551757812;
34,94;18,4375;19,092195510864258;19,102684020996094;-24,5625;-24,317432403564453;-24,323440551757812;
34,942;18,4375;19,092195510864258;19,102684020996094;-24,5625;-24,317432403564453;-24,323440551757812;
34,943;18,4375;19,092195510864258;19,102684020996094;-24,5625;-24,317432403564453;-24,323440551757812;
34,945;18,4375;19,092195510864258;19,102684020996094;-24,5625;-24,317432403564453;-24,323440551757812;
34,947;18,4375;19,092195510864258;19,102684020996094;-24,5625;-24,317432403564453;-24,323440551757812;
34,948;18,4375;19,086681365966797;19,098379135131836;-24,5625;-24,311594009399414;-24,318836212158203;
34,95;18,4375;19,086681365966797;19,098379135131836;-24,5625;-24,311594009399414;-24,318836212158203;
34,952;18,4375;19,086681365966797;19,098379135131836;-24,5625;-24,311594009399414;-24,318836212158203;
34,953;18,4375;19,086681365966797;19,098379135131836;-24,5625;-24,311594009399414;-24,318836212158203;
34,955;18,4375;19,086681365966797;19,098379135131836;-24,5625;-24,311594009399414;-24,318836212158203;
34,957;18,4375;19,086681365966797;19,098379135131836;-24,5625;-24,311594009399414;-24,318836212158203;
34,958;18,4375;19,087793350219727;19,098886489868164;-24,5625;-24,3148250579834;-24,320858001708984;
34,96;18,4375;19,087793350219727;19,098886489868164;-24,5625;-24,3148250579834;-24,320858001708984;
34,962;18,4375;19,087793350219727;19,098886489868164;-24,5625;-24,3148250579834;-24,320858001708984;
34,963;18,4375;19,087793350219727;19,098886489868164;-24,5625;-24,3148250579834;-24,320858001708984;
34,965;18,4375;19,091506958007812;19,101417541503906;-24,5625;-24,31668472290039;-24,32259178161621;
34,966;18,4375;19,091506958007812;19,101417541503906;-24,5625;-24,31668472290039;-24,32259178161621;
34,968;18,4375;19,091506958007812;19,101417541503906;-24,5625;-24,31668472290039;-24,32259178161621;
34,97;18,4375;19,091506958007812;19,101417541503906;-24,5625;-24,31668472290039;-24,32259178161621;
34,971;18,4375;19,091506958007812;19,101417541503906;-24,5625;-24,31668472290039;-24,32259178161621;
34,973;18,4375;19,091506958007812;19,101417541503906;-24,5625;-24,31668472290039;-24,32259178161621;
34,974;18,4375;19,091506958007812;19,101417541503906;-24,5625;-24,31668472290039;-24,32259178161621;
34,976;18,4375;19,091506958007812;19,101417541503906;-24,5625;-24,31668472290039;-24,32259178161621;
34,977;18,4375;19,091506958007812;19,101417541503906;-24,5625;-24,31668472290039;-24,32259178161621;
34,979;18,4375;19,08890724182129;19,099658966064453;-24,5625;-24,317106246948242;-24,323081970214844;
34,98;18,4375;19,08890724182129;19,099658966064453;-24,5625;-24,317106246948242;-24,323081970214844;
34,982;18,4375;19,08890724182129;19,099658966064453;-24,5625;-24,317106246948242;-24,323081970214844;
34,983;18,4375;19,08890724182129;19,099658966064453;-24,5625;-24,317106246948242;-24,323081970214844;
34,984;18,4375;19,08890724182129;19,099658966064453;-24,5625;-24,317106246948242;-24,323081970214844;
34,985;18,4375;19,08890724182129;19,099658966064453;-24,5625;-24,317106246948242;-24,323081970214844;
34,986;18,4375;19,08890724182129;19,099658966064453;-24,5625;-24,317106246948242;-24,323081970214844;
34,987;18,4375;19,08890724182129;19,099658966064453;-24,5625;-24,317106246948242;-24,323081970214844;
34,988;18,4375;19,089149475097656;19,099668502807617;-24,5625;-24,315261840820312;-24,32280158996582;
34,99;18,4375;19,089149475097656;19,099668502807617;-24,5625;-24,315261840820312;-24,32280158996582;
34,991;18,4375;19,089149475097656;19,099668502807617;-24,5625;-24,315261840820312;-24,32280158996582;
34,992;18,4375;19,089149475097656;19,099668502807617;-24,5625;-24,315261840820312;-24,32280158996582;
34,993;18,4375;19,089149475097656;19,099668502807617;-24,5625;-24,315261840820312;-24,32280158996582;
34,994;18,4375;19,089149475097656;19,099668502807617;-24,5625;-24,315261840820312;-24,32280158996582;
34,996;18,4375;19,089149475097656;19,099668502807617;-24,5625;-24,315261840820312;-24,32280158996582;
34,997;18,4375;19,089149475097656;19,099668502807617;-24,5625;-24,315261840820312;-24,32280158996582;
34,998;18,4375;19,09117317199707;19,100868225097656;-24,5625;-24,316490173339844;-24,323223114013672;
35;18,4375;19,09117317199707;19,100868225097656;-24,5625;-24,316490173339844;-24,323223114013672;
35,001;18,4375;19,09117317199707;19,100868225097656;-24,5625;-24,316490173339844;-24,323223114013672;
35,002;18,4375;19,09117317199707;19,100868225097656;-24,5625;-24,316490173339844;-24,323223114013672;
35,004;18,4375;19,09117317199707;19,100868225097656;-24,5625;-24,316490173339844;-24,323223114013672;
35,005;18,4375;19,09117317199707;19,100868225097656;-24,5625;-24,316490173339844;-24,323223114013672;
35,007;18,4375;19,09117317199707;19,100868225097656;-24,5625;-24,316490173339844;-24,323223114013672;
35,009;18,4375;19,09196662902832;19,101741790771484;-24,5625;-24,3160400390625;-24,322168350219727;
35,01;18,4375;19,09196662902832;19,101741790771484;-24,5625;-24,3160400390625;-24,322168350219727;
35,012;18,4375;19,09196662902832;19,101741790771484;-24,5625;-24,3160400390625;-24,322168350219727;
35,013;18,4375;19,09196662902832;19,101741790771484;-24,5625;-24,3160400390625;-24,322168350219727;
35,015;18,4375;19,091447830200195;19,10249137878418;-24,5625;-24,319351196289062;-24,324077606201172;
35,017;18,4375;19,091447830200195;19,10249137878418;-24,5625;-24,319351196289062;-24,324077606201172;
35,018;18,4375;19,091447830200195;19,10249137878418;-24,5625;-24,319351196289062;-24,324077606201172;
35,019;18,4375;19,091447830200195;19,10249137878418;-24,5625;-24,319351196289062;-24,324077606201172;
35,021;18,4375;19,091447830200195;19,10249137878418;-24,5625;-24,319351196289062;-24,324077606201172;
35,022;18,4375;19,091447830200195;19,10249137878418;-24,5625;-24,319351196289062;-24,324077606201172;
35,023;18,4375;19,091447830200195;19,10249137878418;-24,5625;-24,319351196289062;-24,324077606201172;
35,025;18,4375;19,091447830200195;19,10249137878418;-24,5625;-24,319351196289062;-24,324077606201172;
35,026;18,4375;19,091447830200195;19,10249137878418;-24,5625;-24,319351196289062;-24,324077606201172;
35,028;18,4375;19,091447830200195;19,10249137878418;-24,5625;-24,319351196289062;-24,324077606201172;
35,03;18,4375;19,090967178344727;19,102432250976562;-24,5625;-24,320068359375;-24,324718475341797;
35,031;18,4375;19,090967178344727;19,102432250976562;-24,5625;-24,320068359375;-24,324718475341797;
35,033;18,4375;19,090967178344727;19,102432250976562;-24,5625;-24,320068359375;-24,324718475341797;
35,035;18,4375;19,090967178344727;19,102432250976562;-24,5625;-24,320068359375;-24,324718475341797;
35,036;18,4375;19,090967178344727;19,102432250976562;-24,5625;-24,320068359375;-24,324718475341797;
35,037;18,4375;19,090967178344727;19,102432250976562;-24,5625;-24,320068359375;-24,324718475341797;
35,039;18,4375;19,08915138244629;19,10101318359375;-24,5625;-24,31670379638672;-24,322208404541016;
35,04;18,4375;19,08915138244629;19,10101318359375;-24,5625;-24,31670379638672;-24,322208404541016;
35,042;18,4375;19,08915138244629;19,10101318359375;-24,5625;-24,31670379638672;-24,322208404541016;
35,043;18,4375;19,08915138244629;19,10101318359375;-24,5625;-24,31670379638672;-24,322208404541016;
35,045;18,4375;19,08915138244629;19,10101318359375;-24,5625;-24,31670379638672;-24,322208404541016;
35,046;18,4375;19,08915138244629;19,10101318359375;-24,5625;-24,31670379638672;-24,322208404541016;
35,048;18,4375;19,08915138244629;19,10101318359375;-24,5625;-24,31670379638672;-24,322208404541016;
35,05;18,4375;19,088136672973633;19,100027084350586;-24,5625;-24,31584358215332;-24,322267532348633;
35,051;18,4375;19,088136672973633;19,100027084350586;-24,5625;-24,31584358215332;-24,322267532348633;
35,053;18,4375;19,088136672973633;19,100027084350586;-24,5625;-24,31584358215332;-24,322267532348633;
35,054;18,4375;19,088136672973633;19,100027084350586;-24,5625;-24,31584358215332;-24,322267532348633;
35,056;18,4375;19,088136672973633;19,100027084350586;-24,5625;-24,31584358215332;-24,322267532348633;
