time,ac_x,ac_x_f,ac_y,ac_y_f,
0,4.610000133514404,4.606987953186035,1.0499999523162842,1.0505802631378174,
0.008,4.599999904632568,4.6020965576171875,1.0399999618530273,1.043174147605896,
0.019,4.610000133514404,4.60762882232666,1.0399999618530273,1.040952205657959,
0.029,4.599999904632568,4.602288722991943,1.0299999713897705,1.0332856178283691,
0.038,4.619999885559082,4.614686489105225,1.0499999523162842,1.0449856519699097,
0.048,4.610000133514404,4.611405849456787,1.0700000524520874,1.0624957084655762,
0.058,4.610000133514404,4.610421657562256,1.0499999523162842,1.0537487268447876,
0.068,4.599999904632568,4.603126525878906,1.0499999523162842,1.0511245727539062,
0.078,4.619999885559082,4.614937782287598,1.0299999713897705,1.0363373756408691,
0.088,4.590000152587891,4.5974812507629395,1.0399999618530273,1.0389012098312378,
0.098,4.599999904632568,4.599244594573975,1.0700000524520874,1.0606703758239746,
0.108,4.610000133514404,4.606773376464844,1.059999942779541,1.0602011680603027,
0.118,4.619999885559082,4.616032123565674,1.0299999713897705,1.039060354232788,
0.128,4.610000133514404,4.611809730529785,1.059999942779541,1.053718090057373,
0.138,4.599999904632568,4.603542804718018,1.0199999809265137,1.0301154851913452,
0.148,4.610000133514404,4.608062744140625,1.0499999523162842,1.0440346002578735,
0.158,4.590000152587891,4.595418930053711,1.0499999523162842,1.0482103824615479,
0.168,4.599999904632568,4.598625659942627,1.059999942779541,1.0564631223678589,
0.178,4.619999885559082,4.613587856292725,1.0299999713897705,1.0379389524459839,
0.188,4.610000133514404,4.611076354980469,1.0299999713897705,1.0323816537857056,
0.198,4.590000152587891,4.596323013305664,1.0499999523162842,1.0447144508361816,
0.208,4.599999904632568,4.5988969802856445,1.059999942779541,1.0554143190383911,
0.218,4.599999904632568,4.599668979644775,1.059999942779541,1.058624267578125,
0.228,4.610000133514404,4.606900691986084,1.0399999618530273,1.0455873012542725,
0.238,4.599999904632568,4.602070331573486,1.0700000524520874,1.062676191329956,
0.248,4.590000152587891,4.593621253967285,1.059999942779541,1.0608028173446655,
0.258,4.619999885559082,4.612086296081543,1.059999942779541,1.0602408647537231,
0.268,4.630000114440918,4.624626159667969,1.059999942779541,1.0600723028182983,
0.278,4.639999866485596,4.635387897491455,1.0399999618530273,1.0460216999053955,
0.288,4.630000114440918,4.631616592407227,1.0399999618530273,1.0418065786361694,
0.298,4.610000133514404,4.616485118865967,1.0700000524520874,1.06154203414917,
0.308,4.590000152587891,4.597945690155029,1.059999942779541,1.0604625940322876,
0.318,4.599999904632568,4.59938383102417,1.059999942779541,1.0601388216018677,
0.328,4.610000133514404,4.606815338134766,1.0199999809265137,1.0320416688919067,
0.338,4.630000114440918,4.623044490814209,1.0399999618530273,1.0376125574111938,
0.348,4.619999885559082,4.620913505554199,1.0499999523162842,1.0462837219238281,
0.358,4.619999885559082,4.620274066925049,1.059999942779541,1.0558850765228271,
0.368,4.610000133514404,4.613082408905029,1.0499999523162842,1.0517655611038208,
0.378,4.630000114440918,4.624924659729004,1.059999942779541,1.0575296878814697,
0.388,4.619999885559082,4.621477127075195,1.0499999523162842,1.0522589683532715,
0.398,4.610000133514404,4.613442897796631,1.0399999618530273,1.0436776876449585,
0.408,4.610000133514404,4.611032962799072,1.059999942779541,1.0551033020019531,
0.418,4.619999885559082,4.617310047149658,1.0399999618530273,1.044530987739563,
0.428,4.610000133514404,4.6121931076049805,1.059999942779541,1.0553593635559082,
0.438,4.599999904632568,4.6036577224731445,1.0499999523162842,1.0516078472137451,
0.448,4.610000133514404,4.608097076416016,1.059999942779541,1.057482361793518,
0.458,4.619999885559082,4.616428852081299,1.0499999523162842,1.0522446632385254,
0.468,4.599999904632568,4.604928493499756,1.0499999523162842,1.0506733655929565,
0.479,4.599999904632568,4.601478576660156,1.0499999523162842,1.0502020120620728,
0.488,4.599999904632568,4.600443363189697,1.0700000524520874,1.0640605688095093,
0.498,4.599999904632568,4.600132942199707,1.0700000524520874,1.0682182312011719,
0.508,4.599999904632568,4.600039958953857,1.059999942779541,1.0624654293060303,
0.518,4.599999904632568,4.600011825561523,1.059999942779541,1.0607396364212036,
0.528,4.590000152587891,4.593003749847412,1.0499999523162842,1.0532219409942627,
